Row,Position,Genotype,Management,Checks,Year,Country,Envir,Harvest_date,Fruit_weight,Fruit_number,Fruit_weight_single,Color_over,Russet_freq_all,Trunk_diameter,Trunk_increment,Flowering_intensity,Flowering_begin,Flowering_full,Flowering_end,Scab,Powdery_mildew,Scab_fruits,Sample_size,Weight_sample
18,78,2796,2,"",2019,CHE,CHE_2019,262,3.047,7,435.2857143,3,42.85714286,27.24,5.64,75,111,,,,,,,
19,38,2794,2,"",2019,CHE,CHE_2019,255,2.579,7,368.4285714,4,0,23.33,3.63,62.5,107,,,,,,,
20,41,653,2,"",2019,CHE,CHE_2019,241,1.769,4,442.25,,,17.31,3.51,87.5,111,,,,,,,
20,88,2974,2,"",2019,CHE,CHE_2019,269,0.458,1,458,,,17.2,2.2,50,111,,,,,,,
21,49,15,2,"",2019,CHE,CHE_2019,262,2.392,6,398.6666667,2,66.66666667,31.53,4.53,62.5,111,,,,,,,
23,33,51,1,"",2019,CHE,CHE_2019,241,2.364,6,394,2,0,18.56,1.36,12.5,111,,,,,,,
23,72,560,1,"",2019,CHE,CHE_2019,276,4.093,9,454.7777778,5,100,21.5,1.5,62.5,111,,,,,,,
24,31,2671,1,"",2019,CHE,CHE_2019,276,1.9,5,380,4,100,19.05,1.25,37.5,111,,,,,,,
24,66,2974,1,"",2019,CHE,CHE_2019,262,0.444,1,444,,,19.64,1.54,12.5,113,,,,,,,
24,74,2836,1,"",2019,CHE,CHE_2019,248,0.396,1,396,,,22.8,2.5,87.5,113,,,,,,,
28,2,737,1,"",2019,CHE,CHE_2019,255,0.426,1,426,,,17.02,0,12.5,111,,,,,,,
28,37,653,1,"",2019,CHE,CHE_2019,241,2.698,6,449.6666667,1,0,15.26,2.46,75,107,,,,,,,
28,49,12_I005,1,"",2019,CHE,CHE_2019,255,0.361,1,361,,,15.71,0.91,12.5,116,,,,,,,
28,76,2794,1,"",2019,CHE,CHE_2019,255,1.518,4,379.5,,,18.01,2.51,62.5,109,,,,,,,
28,77,249,1,"",2019,CHE,CHE_2019,255,1.518,4,379.5,,,18.01,3.21,62.5,109,,,,,,,
33,42,592,1,"",2019,CHE,CHE_2019,262,1.473,4,368.25,,,18.82,3.12,75,113,,,,,,,
34,68,12_I010,1,"",2019,CHE,CHE_2019,269,0.651,1,651,1,,27.29,3.99,25,114,,,,,,,
35,1,3148,1,"",2019,CHE,CHE_2019,269,1.16,3,386.6666667,,,22.69,4.19,75,111,,,,,,,
